epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2442.97,0.72114,0.55462,1.13962,0.95029,0.95332,0.97665,0.83907,0.59809,0.34345,1.06477,0.007921,0.007921,0.007921
44,2499.23,0.7093,0.54378,1.13558,0.96177,0.94891,0.97854,0.8469,0.58979,0.33776,1.05643,0.0078715,0.0078715,0.0078715
45,2555.62,0.71223,0.55017,1.13949,0.96071,0.94829,0.97745,0.84465,0.59393,0.34768,1.06094,0.007822,0.007822,0.007822
46,2611.94,0.70353,0.54441,1.12785,0.96393,0.95526,0.97574,0.83925,0.60291,0.3399,1.0679,0.0077725,0.0077725,0.0077725
47,2668.22,0.70643,0.54442,1.13441,0.9578,0.9549,0.97171,0.83261,0.60486,0.35049,1.06961,0.007723,0.007723,0.007723
48,2724.4,0.70313,0.54156,1.13052,0.95168,0.96196,0.97648,0.84257,0.59196,0.3369,1.06061,0.0076735,0.0076735,0.0076735
49,2780.91,0.70414,0.53977,1.1297,0.96078,0.94909,0.97714,0.84595,0.58881,0.33617,1.06101,0.007624,0.007624,0.007624
50,2837.49,0.69777,0.53232,1.12453,0.96039,0.954,0.97493,0.84698,0.58481,0.33008,1.05272,0.0075745,0.0075745,0.0075745
51,2894.05,0.68803,0.53312,1.12008,0.96472,0.94756,0.9741,0.85009,0.58139,0.33126,1.04931,0.007525,0.007525,0.007525
52,2950.7,0.6894,0.52464,1.12401,0.9531,0.9562,0.9769,0.85681,0.57338,0.32693,1.03944,0.0074755,0.0074755,0.0074755
53,3007.51,0.69222,0.52749,1.12387,0.95967,0.95278,0.97705,0.85107,0.58268,0.33102,1.05014,0.007426,0.007426,0.007426
54,3063.86,0.68357,0.52144,1.11651,0.96065,0.95784,0.97684,0.84959,0.57375,0.32084,1.0386,0.0073765,0.0073765,0.0073765
55,3120.33,0.6873,0.52043,1.11563,0.9634,0.95586,0.97385,0.85649,0.57334,0.32764,1.04433,0.007327,0.007327,0.007327
56,3176.9,0.68747,0.51651,1.11815,0.96506,0.95638,0.97479,0.85102,0.57154,0.32256,1.03744,0.0072775,0.0072775,0.0072775
57,3233.35,0.67974,0.51791,1.1152,0.97042,0.95519,0.97867,0.86287,0.55763,0.31322,1.02936,0.007228,0.007228,0.007228
58,3289.48,0.67484,0.50954,1.11296,0.95571,0.967,0.97683,0.85768,0.56187,0.31596,1.03262,0.0071785,0.0071785,0.0071785
59,3345.75,0.67819,0.51398,1.1099,0.95703,0.96247,0.97634,0.85442,0.57121,0.31876,1.0408,0.007129,0.007129,0.007129
60,3402.09,0.67961,0.51136,1.11413,0.96926,0.9613,0.9805,0.86281,0.55265,0.30727,1.02885,0.0070795,0.0070795,0.0070795
61,3458.63,0.67129,0.50913,1.11286,0.96213,0.95882,0.974,0.85746,0.55671,0.31697,1.03633,0.00703,0.00703,0.00703
62,3515.35,0.66898,0.5071,1.11013,0.95893,0.95949,0.97901,0.85741,0.56042,0.31557,1.03222,0.0069805,0.0069805,0.0069805
63,3571.74,0.66258,0.50004,1.106,0.96985,0.95446,0.98035,0.86398,0.55503,0.305,1.02408,0.006931,0.006931,0.006931
64,3628.48,0.66732,0.49683,1.10999,0.96779,0.96332,0.98063,0.86905,0.54561,0.30195,1.01982,0.0068815,0.0068815,0.0068815
65,3685.4,0.66668,0.50333,1.10724,0.9668,0.96479,0.98192,0.86581,0.55366,0.29775,1.02861,0.006832,0.006832,0.006832
66,3741.79,0.66161,0.50144,1.1089,0.96845,0.95839,0.97927,0.8648,0.55155,0.30149,1.02317,0.0067825,0.0067825,0.0067825
67,3798,0.66058,0.4959,1.10135,0.96923,0.96136,0.97849,0.86357,0.55153,0.29839,1.03202,0.006733,0.006733,0.006733
68,3854.41,0.65586,0.50014,1.1041,0.96519,0.96581,0.98289,0.86509,0.55455,0.29441,1.03011,0.0066835,0.0066835,0.0066835
69,3910.44,0.65412,0.49129,1.10239,0.96616,0.96271,0.9829,0.86751,0.54534,0.29611,1.02411,0.006634,0.006634,0.006634
70,3966.68,0.66088,0.49644,1.10467,0.9714,0.95806,0.98366,0.87168,0.54627,0.29215,1.02206,0.0065845,0.0065845,0.0065845
71,4023.09,0.65279,0.4904,1.10122,0.9667,0.96552,0.9828,0.86765,0.54641,0.29579,1.02171,0.006535,0.006535,0.006535
72,4079.63,0.64602,0.48697,1.09277,0.96504,0.96233,0.98338,0.8715,0.5417,0.29556,1.01719,0.0064855,0.0064855,0.0064855
73,4135.96,0.64799,0.4857,1.09665,0.97039,0.96178,0.98093,0.87162,0.53791,0.29622,1.02089,0.006436,0.006436,0.006436
74,4192.26,0.64253,0.48337,1.09231,0.96279,0.96569,0.98122,0.87325,0.54631,0.29547,1.02405,0.0063865,0.0063865,0.0063865
75,4248.73,0.6411,0.48328,1.09244,0.96921,0.96133,0.98175,0.87058,0.53881,0.29125,1.02394,0.006337,0.006337,0.006337
76,4305.39,0.64035,0.47822,1.09364,0.96608,0.9622,0.98191,0.87205,0.53466,0.28528,1.0196,0.0062875,0.0062875,0.0062875
77,4361.68,0.63336,0.47231,1.08878,0.97318,0.95563,0.98132,0.87643,0.52957,0.28994,1.01518,0.006238,0.006238,0.006238
78,4418.42,0.6364,0.47504,1.09112,0.96833,0.96284,0.97964,0.87596,0.52841,0.2883,1.01218,0.0061885,0.0061885,0.0061885
79,4475.13,0.63764,0.47364,1.09089,0.96775,0.96423,0.98331,0.87504,0.53255,0.28724,1.0115,0.006139,0.006139,0.006139
80,4531.82,0.63212,0.47201,1.08878,0.96585,0.96544,0.98192,0.87402,0.5321,0.28755,1.01746,0.0060895,0.0060895,0.0060895
81,4588.15,0.63706,0.47608,1.09049,0.96879,0.96369,0.98276,0.87547,0.527,0.2861,1.01032,0.00604,0.00604,0.00604
82,4644.52,0.63033,0.46607,1.0866,0.96957,0.96432,0.98155,0.87718,0.52457,0.28675,1.00771,0.0059905,0.0059905,0.0059905
83,4701.01,0.62671,0.46373,1.08481,0.96964,0.96437,0.97795,0.87668,0.52425,0.28574,1.00997,0.005941,0.005941,0.005941
84,4757.61,0.62993,0.46612,1.08497,0.96899,0.96123,0.98116,0.87936,0.52792,0.28603,1.01376,0.0058915,0.0058915,0.0058915
85,4814.03,0.62166,0.46127,1.0841,0.96625,0.96424,0.98264,0.87802,0.5279,0.2818,1.01595,0.005842,0.005842,0.005842
86,4870.41,0.62571,0.46762,1.08639,0.96985,0.96557,0.98251,0.87726,0.52021,0.28147,1.00605,0.0057925,0.0057925,0.0057925
87,4927.06,0.61892,0.4595,1.08154,0.96763,0.96607,0.98191,0.878,0.52695,0.27836,1.01451,0.005743,0.005743,0.005743
88,4984,0.62167,0.46256,1.08338,0.96686,0.96209,0.98083,0.87845,0.52648,0.28455,1.01443,0.0056935,0.0056935,0.0056935
89,5040.43,0.62124,0.46283,1.07883,0.96343,0.96623,0.98002,0.87566,0.52452,0.28468,1.01393,0.005644,0.005644,0.005644
90,5096.68,0.61609,0.45575,1.08032,0.96451,0.96599,0.98141,0.87799,0.52424,0.28179,1.01196,0.0055945,0.0055945,0.0055945
91,5153.05,0.62096,0.45785,1.07942,0.96787,0.96479,0.98098,0.87824,0.51815,0.27715,1.00717,0.005545,0.005545,0.005545
92,5209.32,0.60649,0.44896,1.07278,0.97356,0.96047,0.9825,0.88167,0.51559,0.27271,1.00406,0.0054955,0.0054955,0.0054955
93,5265.74,0.61358,0.45439,1.07939,0.97188,0.9645,0.98159,0.87935,0.52146,0.27704,1.01129,0.005446,0.005446,0.005446
94,5321.98,0.60488,0.45221,1.07635,0.9717,0.96536,0.98217,0.88187,0.51453,0.27294,1.00526,0.0053965,0.0053965,0.0053965
95,5378.13,0.60831,0.44367,1.07191,0.97319,0.96236,0.98232,0.88343,0.51398,0.27203,1.00473,0.005347,0.005347,0.005347
96,5434.41,0.60673,0.44429,1.07614,0.9695,0.96522,0.98095,0.87987,0.51196,0.27438,1.00331,0.0052975,0.0052975,0.0052975
97,5490.54,0.60417,0.44075,1.07218,0.96284,0.9711,0.98054,0.87999,0.51162,0.27279,1.00339,0.005248,0.005248,0.005248
98,5547.02,0.60225,0.44028,1.06957,0.96953,0.96621,0.98014,0.88024,0.51037,0.27274,1.00188,0.0051985,0.0051985,0.0051985
99,5603.61,0.60319,0.44086,1.07078,0.97179,0.96767,0.97924,0.88188,0.5085,0.26934,0.99991,0.005149,0.005149,0.005149
100,5660.03,0.5958,0.4401,1.06759,0.9687,0.96881,0.98017,0.88164,0.50783,0.27223,0.99936,0.0050995,0.0050995,0.0050995
