                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.5294,                 1.7853,                 1.8049,                 1.5231,                 2.0767,                 1.7418,                 0.4664,                0.62395,                0.45985,                0.31291,                 1.2128,                  1.529,                 1.7984,                  1.217,                 1.6383,                 1.7923,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.5004,                 1.7354,                 1.7808,                 1.5005,                 2.0153,                 1.7133,                0.55786,                  0.523,                0.54395,                0.35905,                 1.1564,                 1.3076,                 1.7429,                 1.2051,                 1.4501,                 1.7828,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.4861,                 1.7118,                 1.7739,                 1.4892,                  1.993,                 1.7229,                0.52189,                0.58061,                0.56884,                0.36494,                 1.2326,                 1.3407,                 1.8029,                 1.2469,                 1.5141,                 1.8079,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.4879,                 1.6555,                 1.7643,                 1.4776,                  1.941,                 1.7143,                0.52196,                0.67811,                0.65867,                0.42745,                 1.1522,                 1.1836,                  1.733,                 1.1834,                 1.4021,                 1.7513,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.4617,                 1.6376,                 1.7526,                 1.4773,                 1.8954,                 1.7172,                0.56821,                0.63327,                0.65591,                0.43286,                 1.1191,                 1.2044,                 1.7109,                 1.1714,                 1.3322,                 1.7437,              0.0012522,              0.0012522,              0.0012522
                     28,                   1.47,                 1.5907,                 1.7442,                 1.4826,                 1.8598,                 1.7186,                0.63102,                0.64525,                0.69873,                0.46122,                 1.1645,                   1.08,                 1.7506,                 1.1975,                 1.2504,                 1.7651,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.4448,                 1.5526,                 1.7245,                 1.4566,                 1.8244,                 1.6968,                0.50045,                0.58223,                0.60618,                0.40656,                 1.1439,                  1.366,                 1.7016,                 1.1713,                 1.4904,                 1.7043,               0.001238,               0.001238,               0.001238
                     30,                 1.4193,                  1.499,                 1.7092,                 1.4384,                 1.7686,                   1.68,                0.69886,                0.69107,                0.76446,                 0.5185,                  1.119,                0.93323,                 1.6973,                 1.1733,                 1.0527,                 1.7298,              0.0012309,              0.0012309,              0.0012309
                     31,                  1.415,                 1.5024,                 1.6959,                 1.4355,                 1.7541,                 1.6731,                0.72276,                0.70144,                0.76199,                0.50873,                 1.1572,                0.90391,                 1.7177,                 1.1895,                 1.0608,                  1.729,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.4207,                 1.4677,                 1.6914,                 1.4506,                 1.7343,                 1.6672,                 0.6802,                0.67893,                0.74863,                0.51273,                 1.1256,                0.90188,                 1.6903,                 1.1757,                 1.0809,                 1.6931,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.3749,                  1.421,                 1.6606,                 1.4099,                 1.6755,                 1.6461,                  0.715,                0.64503,                0.73743,                0.50312,                  1.125,                  0.949,                 1.6908,                 1.1652,                 1.0945,                 1.7128,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.3908,                 1.4067,                 1.6629,                 1.4232,                 1.6815,                  1.648,                 0.7514,                0.64011,                0.75176,                0.50874,                 1.1045,                 1.0707,                 1.6614,                 1.1762,                 1.1471,                 1.7175,              0.0012026,              0.0012026,              0.0012026
